Q1,Q2,Q3,Q4,Q5,Q6,id
[1],[2],[2],[],[1],[1] ,abs06944
[1],[4],[],[0],[1],[1] ,abs11469
1,6,1,[0],1,1 ,abs21422
[1],[2],[2],[],[],[0] ,abs02195
[1],[4 5],[],[0],[],[0] ,abs14966
[1],[6],[],[],[],[0] ,abs08287
[0],[],[],[],[0],[1] ,abs04592
[1],[2],[],[3],[1],[1] ,abs22126
[1],[],[2],[0],[],[0] ,abs13808
[1],[5],[2],[0],[],[0] ,abs10282
[1],[4 5 6],[],[0],[1],[1] ,abs08127
[1],[6],[],[0],[],[0] ,abs05704
[1],[6],[],[0],[1],[1] ,abs04529
[1],[4],[],[],[1],[1] ,abs17942
[1],[4 5 6],[],[0],[],[0] ,abs07451
[1],[5 6],[],[0],[],[0] ,abs13419
[0],[],[],[],[1],[1] ,abs03624
[1],[4 5 6],[2],[0],[1],[1] ,abs06143
[1],[3],[2],[0],[],[0] ,abs18360
[1],[4 6 7],[],[0],[],[1] ,abs13573
[1],[6],[2],[0],[],[0] ,abs12505
[1],[6],[],[0],[],[0] ,abs21608
[1],[4 5 6 7],[],[0],[],[0] ,abs05990
[1],[5 6],[],[0],[],[0] ,abs12598
[1],[4 5 6],[1],[0],[],[0],abs05348
[1],[2],[],[],[0],[1] ,abs15106
[1],[],[],[],[1],[1] ,abs13643
[1],[],[],[],[],[0] ,abs05912
[1],[4 5 6 7],[],[0],[1],[1] ,abs19145
1,4 6,2,0,1,1 ,abs08498
[1],[5 6],[],[0],[],[0] ,abs13035
[1],[1 2],[],[],[],[0] ,abs14930
[0],[],[],[],[],[0] ,abs15667
[1],[],[2],[],[1],[1] ,abs17254
[0],[],[],[],[],[0] ,abs02509
[1],[4],[],[],[0],[0] ,abs08122
[1],[2],[2],[],[0],[1] ,abs06680
[1],[5 6],[],[0],[],[0] ,abs05731
[1],[5 6],[1],[],[1],[0] ,abs05662
[1],[4 5 6],[],[],[],[0] ,abs09347
[0],[],[],[],[0],[1] ,abs18089
[1],[1 2],[],[22],[],[0] ,abs03151
[1],[6],[],[0],[],[0] ,abs04128
[0],[],[],[],[0],[1] ,abs04964
[1],[4 5],[],[0],[],[0] ,abs15777
[1],[2],[],[],[0],[0] ,abs03011
[1],[6],[],[0],[],[0] ,abs03912
[1],[],[],[],[1],[1] ,abs13786
[1],[4 5 6],[2],[0],[],[0] ,abs08240
[1],[4 5 6],[],[0],[],[0] ,abs13535
[1],[5 6],[2],[0],[],[0] ,abs06351
[1],[2],[],[18],[1],[1] ,abs22238
[1],[0],[],[0],[],[0] ,abs14668
[1],[4 5 6],[2],[0],[],[0] ,abs09220
[1],[2],[],[],[0],[1] ,abs22021
[0],[],[],[],[1],[1] ,abs00698
[1],[2],[],[16],[0],[1] ,abs05012
[1],[6],[2],[0],[],[0] ,abs07488
[1],[1 2 5 6],[],[],[1],[0] ,abs13070
[0],[],[],[],[1],[1] ,abs17176
[1],[6],[],[0],[],[1] ,abs21441
[1],[5 6],[],[0],[],[0] ,abs14713
